Name,Cannes 2026,Checked,Director,Link,Place,Year
"Crouching Tiger, Hidden Dragon",No,Yes,Ang Lee,https://movie.douban.com/subject/1301168/,"Beijing, China",2000
Mad Max: Fury Road,No,Yes,George Miller,https://movie.douban.com/subject/3592854/,"Namib Desert, Namibia",2015
Parasite,No,Yes,Bong Joon-ho,https://movie.douban.com/subject/27010768/,"Seoul, South Korea",2019
Interstellar,No,Yes,Christopher Nolan,https://movie.douban.com/subject/1889243/,"Colorado, USA",2014
"Lust, Caution",No,Yes,Ang Lee,https://movie.douban.com/subject/1828115/,"Shanghai, China",2007
The Grandmaster,No,Yes,Wong Kar-wai,https://movie.douban.com/subject/3821067/,"Foshan, Guangdong, China",2013
Lost in Translation,No,Yes,Sofia Coppola,https://movie.douban.com/subject/1291835/,"Tokyo, Japan",2003
The Shining,No,Yes,Stanley Kubrick,https://movie.douban.com/subject/1292225/,"Estes Park, Colorado, USA",1980
A Separation,No,Yes,Asghar Farhadi,https://movie.douban.com/subject/5964718/,"Tehran, Iran",2011
Eternal Sunshine of the Spotless Mind,No,Yes,Michel Gondry,https://movie.douban.com/subject/1308777/,"Montauk, New York, USA",2004
Cloud Atlas,No,Yes,Tom Tykwer & The Wachowskis,https://movie.douban.com/subject/3530403/,"Neo-Seoul (Seoul, South Korea)",2012
In the Mood for Love,No,Yes,Wong Kar-wai,https://movie.douban.com/subject/1291557/,Hong Kong,2000
Kill Bill: Vol. 1,No,Yes,Quentin Tarantino,https://movie.douban.com/subject/1291580/,"Tokyo, Japan",2003
The Grand Budapest Hotel,No,Yes,Wes Anderson,https://movie.douban.com/subject/11525673/,"Görlitz, Germany",2014
Chungking Express,No,Yes,Wong Kar-wai,https://movie.douban.com/subject/1291999/,"Chungking Mansions, Hong Kong",1994
Memento,No,Yes,Christopher Nolan,https://movie.douban.com/subject/1304447/,"Los Angeles, USA",2000
Millennium Actress,No,Yes,Satoshi Kon,https://movie.douban.com/subject/1307394/,"Tokyo, Japan",2001
There Will Be Blood,No,Yes,Paul Thomas Anderson,https://movie.douban.com/subject/1945780/,"Bakersfield, California, USA",2007
The Social Network,No,Yes,David Fincher,https://movie.douban.com/subject/3205624/,"Cambridge, Massachusetts, USA",2010
Fight Club,No,Yes,David Fincher,https://movie.douban.com/subject/1292000/,"Los Angeles, USA",1999
Kill Bill: Vol. 2,No,Yes,Quentin Tarantino,https://movie.douban.com/subject/1291584/,Mexico,2004
Amélie,No,Yes,Jean-Pierre Jeunet,https://movie.douban.com/subject/1292215/,"Montmartre, Paris, France",2001
Tokyo Godfathers,No,Yes,Satoshi Kon,https://movie.douban.com/subject/1310177/,"Tokyo, Japan",2003
One Fine Morning,No,Yes,Mia Hansen-Løve,https://movie.douban.com/subject/35211730/,"Paris, France",2022
The Man Without a Past (Mies vailla menneisyyttä),No,Yes,Aki Kaurismäki,https://movie.douban.com/subject/1307790/,"Helsinki, Finland",2002
John Wick: Chapter 4,No,Yes,Chad Stahelski,https://movie.douban.com/subject/33455421/,"Paris, France",2023
Under the Skin,No,Yes,Jonathan Glazer,https://movie.douban.com/subject/3749974/,"Glasgow, Scotland, UK",2013
Smoking Causes Coughing,No,Yes,Quentin Dupieux,https://movie.douban.com/subject/35684175/,France,2022
"About Dry Grasses ",No,Yes,Nuri Bilge Ceylan,https://movie.douban.com/subject/35211729/,"Eastern Anatolia, Turkey",2023
"A Brighter Tomorrow ",No,Yes,Nanni Moretti,https://movie.douban.com/subject/35752528/,"Rome, Italy",2023
Beyond Noh,No,Yes,Patrick Smith,https://movie.douban.com/subject/35358849/,Japan (thematic),2020
Uncut Gems,No,Yes,Josh & Benny Safdie,https://movie.douban.com/subject/27045860/,"New York City, USA",2019
"The Taste of Things ",No,Yes,Tran Anh Hung,https://movie.douban.com/subject/35875476/,France,2023
Pain and Glory,No,Yes,Pedro Almodóvar,https://movie.douban.com/subject/30198539/,"Madrid, Spain",2019
Pola X,No,Yes,Leos Carax,https://movie.douban.com/subject/1302907/,"Normandy, France",1999
"Kidnapped ",No,Yes,Marco Bellocchio,https://movie.douban.com/subject/35397882/,"Bologna, Italy",2023
Tár,No,Yes,Todd Field,https://movie.douban.com/subject/35430833/,"Berlin, Germany",2022
Showing Up,No,Yes,Kelly Reichardt,https://movie.douban.com/subject/35342071/,"Portland, Oregon, USA",2022
Leningrad Cowboys Go America,No,Yes,Aki Kaurismäki,https://movie.douban.com/subject/1316560/,USA (road trip),1989
The Elephant Whisperers,No,Yes,Kartiki Gonsalves,https://movie.douban.com/subject/36182351/,"Mudumalai, Tamil Nadu, India",2022
Inside,No,Yes,Vasilis Katsoupis,https://movie.douban.com/subject/35322671/,"New York City, USA",2023
"Fallen Leaves ",No,Yes,Aki Kaurismäki,https://movie.douban.com/subject/35928797/,"Helsinki, Finland",2023
Happy as Lazzaro,No,Yes,Alice Rohrwacher,https://movie.douban.com/subject/27072795/,Italian countryside,2018
Ittefaq,No,Yes,Abhay Chopra,https://movie.douban.com/subject/27133050/,"Mumbai, India",2017
Asteroid City,No,Yes,Wes Anderson,https://movie.douban.com/subject/35209746/,American Southwest (fictional),2023
